                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.00926,                 1.2239,                 1.4389,                0.71566,                 0.6909,                0.71137,                0.43069,                0.00966,                 1.2524,                 1.5412,             0.00058017,             0.00058017,             0.00058017
                     62,                0.00932,                  1.234,                 1.4336,                0.67096,                0.71879,                 0.7233,                0.43912,                0.00949,                 1.2204,                 1.5174,             0.00056603,             0.00056603,             0.00056603
                     63,                0.00918,                 1.2049,                 1.4232,                0.75946,                0.65449,                0.70561,                0.42481,                0.00952,                  1.229,                  1.528,             0.00055188,             0.00055188,             0.00055188
                     64,                0.00923,                 1.2063,                 1.4211,                0.75751,                 0.6569,                0.69972,                0.42988,                0.00945,                 1.2494,                 1.5218,             0.00053773,             0.00053773,             0.00053773
                     65,                0.00922,                 1.2076,                 1.4387,                0.74355,                0.63751,                 0.6934,                0.43489,                0.00939,                 1.2459,                  1.497,             0.00052359,             0.00052359,             0.00052359
                     66,                0.00899,                 1.1914,                 1.4096,                0.73959,                0.64894,                0.70474,                0.43014,                0.00951,                 1.2511,                 1.5237,             0.00050944,             0.00050944,             0.00050944
                     67,                0.00902,                 1.1801,                 1.4069,                0.72209,                0.69615,                0.72758,                0.44087,                0.00952,                 1.2366,                 1.5171,             0.00049529,             0.00049529,             0.00049529
                     68,                0.00906,                  1.169,                 1.3985,                0.71005,                0.67566,                0.69938,                0.43248,                0.00942,                 1.2467,                 1.5088,             0.00048114,             0.00048114,             0.00048114
                     69,                0.00901,                 1.1619,                 1.4055,                0.69264,                0.71993,                0.72589,                0.45001,                0.00939,                  1.222,                 1.5141,               0.000467,               0.000467,               0.000467
                     70,                0.00905,                 1.1544,                 1.4103,                0.75504,                0.68341,                0.72235,                 0.4469,                0.00939,                  1.165,                 1.4989,             0.00045285,             0.00045285,             0.00045285
                     71,                0.00888,                 1.1447,                 1.4034,                0.67844,                0.72437,                0.71753,                0.44551,                0.00943,                 1.2055,                 1.5039,              0.0004387,              0.0004387,              0.0004387
                     72,                0.00886,                 1.1144,                 1.3849,                0.71118,                0.71108,                0.72415,                0.45694,                 0.0093,                 1.1961,                 1.4968,             0.00042456,             0.00042456,             0.00042456
                     73,                0.00883,                 1.1411,                  1.389,                0.73942,                0.68835,                0.72152,                0.45223,                0.00924,                 1.2245,                 1.4877,             0.00041041,             0.00041041,             0.00041041
                     74,                0.00883,                 1.1411,                 1.3885,                0.67726,                0.74095,                0.72057,                 0.4539,                 0.0092,                 1.1796,                  1.474,             0.00039626,             0.00039626,             0.00039626
                     75,                0.00866,                  1.103,                 1.3692,                 0.7103,                0.69951,                0.73512,                0.46375,                0.00912,                 1.1749,                 1.4804,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.0087,                 1.0935,                 1.3716,                0.68986,                0.69899,                0.71557,                0.44956,                0.00915,                 1.1821,                 1.4738,             0.00036797,             0.00036797,             0.00036797
                     77,                0.00859,                 1.0875,                 1.3609,                  0.712,                0.72243,                0.72128,                0.45708,                0.00907,                 1.1476,                 1.4775,             0.00035382,             0.00035382,             0.00035382
                     78,                0.00862,                 1.0878,                 1.3706,                 0.6904,                0.71673,                0.73725,                0.46716,                0.00923,                 1.1414,                 1.4944,             0.00033967,             0.00033967,             0.00033967
                     79,                0.00855,                  1.062,                 1.3545,                0.70659,                0.72175,                 0.7394,                0.46607,                 0.0092,                 1.1484,                 1.5024,             0.00032553,             0.00032553,             0.00032553
                     80,                0.00852,                 1.0516,                 1.3497,                0.71657,                0.69715,                0.72949,                0.46527,                0.00912,                 1.1238,                 1.4716,             0.00031138,             0.00031138,             0.00031138
                     81,                0.00839,                 1.0379,                 1.3381,                0.69214,                0.74318,                 0.7357,                0.47073,                0.00903,                 1.1246,                 1.4703,             0.00029723,             0.00029723,             0.00029723
                     82,                0.00845,                 1.0534,                 1.3462,                0.75146,                 0.7187,                0.74186,                0.47432,                0.00893,                 1.1044,                 1.4737,             0.00028308,             0.00028308,             0.00028308
                     83,                0.00843,                  1.035,                  1.351,                0.72037,                0.73658,                0.75594,                 0.4795,                0.00914,                 1.1314,                 1.4954,             0.00026894,             0.00026894,             0.00026894
                     84,                0.00826,                 1.0073,                 1.3205,                0.74103,                0.72582,                0.75167,                0.47929,                0.00905,                 1.1252,                 1.4884,             0.00025479,             0.00025479,             0.00025479
                     85,                0.00838,                 1.0282,                 1.3362,                0.71006,                0.72389,                0.74323,                0.47654,                0.00893,                 1.1208,                 1.4668,             0.00024064,             0.00024064,             0.00024064
                     86,                0.00823,                 1.0159,                 1.3303,                0.73587,                0.71463,                 0.7384,                0.46693,                0.00906,                  1.114,                 1.4763,              0.0002265,              0.0002265,              0.0002265
                     87,                0.00828,                 1.0141,                 1.3255,                0.77925,                0.69446,                0.75726,                0.48307,                0.00882,                 1.1225,                 1.4541,             0.00021235,             0.00021235,             0.00021235
                     88,                0.00818,                 1.0044,                 1.3196,                0.72073,                0.72613,                0.75268,                0.48417,                0.00875,                  1.118,                 1.4518,              0.0001982,              0.0001982,              0.0001982
                     89,                0.00814,                0.99529,                 1.3125,                0.73453,                0.71874,                0.74452,                0.47575,                0.00881,                 1.1214,                 1.4514,             0.00018406,             0.00018406,             0.00018406
                     90,                0.00812,                 0.9911,                 1.3158,                0.68686,                0.75126,                0.74376,                0.48334,                0.00871,                 1.1146,                 1.4435,             0.00016991,             0.00016991,             0.00016991
                     91,                0.00675,                0.71324,                 1.2011,                0.71579,                0.71745,                0.73394,                0.46765,                 0.0088,                 1.1217,                 1.4603,             0.00015576,             0.00015576,             0.00015576
                     92,                0.00654,                 0.6519,                 1.1692,                  0.717,                0.72652,                0.74711,                0.48675,                0.00873,                  1.127,                 1.4473,             0.00014161,             0.00014161,             0.00014161
                     93,                0.00645,                0.63176,                 1.1559,                0.75592,                0.72089,                0.75744,                 0.4946,                0.00866,                 1.1015,                 1.4468,             0.00012747,             0.00012747,             0.00012747
                     94,                0.00634,                0.61191,                 1.1414,                0.76067,                0.72038,                0.75055,                0.49822,                0.00871,                 1.1213,                 1.4544,             0.00011332,             0.00011332,             0.00011332
                     95,                0.00627,                0.61433,                 1.1452,                0.74424,                0.71564,                0.75534,                0.49963,                 0.0085,                 1.0912,                 1.4449,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.00617,                 0.5951,                 1.1286,                0.73652,                0.73288,                0.75182,                 0.4991,                0.00849,                 1.1172,                  1.435,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.00607,                0.58882,                 1.1173,                0.76442,                0.71497,                0.75659,                0.50356,                0.00841,                 1.1081,                 1.4312,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.00607,                0.59259,                 1.1322,                0.76524,                0.72161,                0.75913,                0.50168,                0.00846,                 1.1021,                 1.4378,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.00599,                0.57048,                 1.1139,                 0.7542,                0.74531,                0.76527,                0.50563,                0.00841,                 1.0927,                 1.4363,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.00599,                0.58315,                 1.1191,                 0.7556,                0.74125,                0.76439,                0.50981,                 0.0083,                 1.0852,                 1.4231,             2.8437e-05,             2.8437e-05,             2.8437e-05
